campus_label,asset_tag,serial_number,make,model,building,location_in_building,ip_address,mac_address,comments
Stephens-RM133-LX,A08930,451444HH1B5WL,Lexmark,M3150,Stephenson,RM133,,00:00:00:00:00:00,Armondo is Key Op | 070725 - moved to Stephenson SST -- new Labor Office | set to DHCP | 070825 requested Networking to add to Stephenson Switch and update SubNet
PsPayT2 _ Xerox / HP,PHBCS8M0PG,PHBCS8M0PG,HP,HP LaserJet M611,Stephenson,Labor Program,10.40.123.251,28:c5:c8:6b:51:b4,MICR Kelly Fox | Using the lexmark universal Print Driver
Stephenson-Retail,A10049,451443HH16VHP,Lexmark,M3150,Stephenson,RM103,,00:21:b7:c1:04:07,07-31-25 - Added to Stephenson-Retail Location | 03-2025 - Removed. Replaced with HP | Installed in Haga 012925 GN | 7/29/25 ZS: found in stephenson Storage
UNKNOWN-LABEL,UNKNOWN-ASSET,,Xerox,AltaLink B8170,Stephenson,Print Production,,00:00:00:00:00:00,
ApcDeM1,A08960,451443HH16V7Z,Lexmark,M3150,Stephenson Hall,App. Center Reception,10.40.105.232,00:21:b7:81:ae:a0,
BfiLx1,A08954,451443HH16V7H,Lexmark,M3150,Stephenson Hall,Floor 2 Brushy Fork,10.40.105.223,00:21:b7:41:e5:9d,
CelLxT1,A08959,451443HH16V5R,Lexmark,M3150,Stephenson Hall,Floor 2 Room 202 (CELTS?),10.40.105.247,00:21:b7:81:2e:c3,
EpgLxT2,A08958,451443HH16V7V,Lexmark,M3150,Stephenson Hall,Eds Office,10.40.105.233,00:21:b7:81:ae:d0,092024 GN Not on Network | 7/24/2025 ZS Moved from Stephenson Hall to Eds Office
Horse Barn,A11103,,Lexmark,XM3150,Stephenson Hall,Ready to Recycle,,00:21:b7:71:12:e8,07/31/25 - Removed from Horse Farm | - damaged by electrical overload that also took out router and other electronics
ST0201,KY4592,SCZBJ44737,Toshiba,e-Studio 3518A,Stephenson Hall,CELTS,10.40.105.252,00:80:91:ce:2d:b5,
ST0202,KY4667,SCNCJ40104,Toshiba,e-Studio 3515AC,Stephenson Hall,2nd Floor Lobby,10.40.105.245,00:80:91:ce:c4:1f,Stephenson-Connector
ST0301,KY4598,CZBJ44751,Toshiba,e-Studio 3518A,Stephenson Hall,3rd Floor Hall,10.40.105.248,00:80:91:ce:2d:30,
ST0302,KY4614,CZDJ49269,Toshiba,e-Studio 3518A,Stephenson Hall,Career Development,10.40.105.235,00:80:91:ce:98:80,
Stephenson-Retail,A08933,7018916304XLB,Lexmark,XM3250,Stephenson Hall,RM103,10.40.105.120,00:00:00:00:00:00,Susan BuckMaster = Primary Contact | RawsonJ (Jaedyn) 2nd contact after Susan | GN 2024-03-10 Toshiba Reports not on contract | - needs a Toner
Stephenson-RM128,KY4594,CZCJ44783,Toshiba,e-Studio 3518A,Stephenson Hall,Unknown,,00:80:91:ce:3d:13,"072425 - deployoed to Student Labor, Stephenson Hall | OLD queue KN0201 | Old building Knapp Hall"
Stephens-RM103,A08946,,Unknown,Unknown,Stephenson Hall,RM103,10.40.141.196,00:21:b7:21:a4:fb,"092024 GN Not on Network, Not in Stephenson 103,"
UNKNOWN-LABEL,A8908,451443HH16VML,Lexmark,M3150,Stephenson Hall,Stephenson Storage,,00:21:b7:c1:84:e8,"Moved to storage 012925 GN, broken bypass tray"
ED0201,KY4589,CZBJ44736,Toshiba,e-Studio 3518A,Stephenson Print & Mail,Retail Lobby,10.40.109.244,00:00:00:00:00:00,
BtLx2,A05961,,Unknown,Unknown,Stephenson Storage,Unknown,10.40.103.252,00:21:b7:92:b9:d0,092024 GN Not on Network | 7/29/2025 ZS: marked to be recycled
CrAfLxT1,A08962,,Unknown,Unknown,Stephenson Storage,Unknown,10.40.109.249,00:21:b7:ae:cf:2b,092024 GN Not on Network
CrDeM1,A12997,,Unknown,Unknown,Stephenson Storage,Unknown,10.40.109.252,00:21:b7:63:5b:cf,092424 Gn Not on Network
CrDeM2,A08912,,Unknown,Unknown,Stephenson Storage,Unknown,10.40.109.254,00:21:b7:c1:84:98,092024 GN Not on Network
CrFdnLxOt3,A10050,,Unknown,Unknown,Stephenson Storage,Unknown,10.40.109.251,00:21:b7:41:c7:bc,092024 GN Not on Network
CrLxT1,A06958,,Unknown,Unknown,Stephenson Storage,Unknown,10.40.109.245,00:21:b7:06:df:d3,092024 GN Not on Network
CrLxT2,A08963,,Unknown,Unknown,Stephenson Storage,Unknown,10.40.101.248,00:21:b7:ae:2f:80,092024 GN Not on Network | 7/29/2025 ZS: marked to be recycled
CrLxT5,A08964,,Unknown,Unknown,Stephenson Storage,Unknown,10.40.109.250,00:21:b7:ae:cf:df,092024 GN Not on Network
ED0301,A10965,C7DE29507,Unknown,Unknown,Stephenson Storage,Unknown,10.40.109.232,00:80:91:ae:55:e0,092424 GN Not on Network
LpLx1,A05962,,Unknown,Unknown,Stephenson Storage,Labor Program,10.40.123.249,00:21:b7:92:a8:17,092024 GN Not on Network
TE0101,KY4613,CZDJ49253,Unknown,e-Studio 3518A,Stephenson Storage,Stephenson Storage,10.40.132.254,00:00:00:00:00:00,Removed from DT GN 020325
WstLxT2,A3633,,Unknown,Unknown,Stephenson Storage,Women Studies,10.40.108.233,00:00:00:00:00:00,092424 GN Not on Network
UNKNOWN-LABEL,A12893,,Unknown,M1145,Stephenson Storage,Unknown,,00:00:00:00:00:00,092424 GN No IP
UNKNOWN-LABEL,A13462,98129RH,Unknown,C540n,Stephenson Storage,Unknown,,00:00:00:00:00:00,092424 GN No IP
UNKNOWN-LABEL,UNKNOWN-ASSET,,Unknown,Unknown,Stephenson Storage,Unknown,,00:00:00:00:00:00,092424 GN No IP
Stephenson_RM133_LX,A08967,451444HH1B5WL,Lexmark,M3150,Stephenson Hall,"RM133
Armondo's Office",,00:21:b7:21:53:c0,08-2025 - EJ ZS installed into Student Labor
StcLx1,A10156,,Unknown,Unknown,Student Crafts Center,WareHouse,10.40.133.207,00:00:00:00:00:00,"092424 GN Not on Network, This printer is not in Student Craft Warehouse, Location Unknown."
BK0101,KY4578,CZDJ49249,Toshiba,e-Studio 3518A,Visitor Center & Shoppe,Visitor Center &Shoppe,10.40.81.11,00:00:00:00:00:00,092424 GN Not on Network
BksLxOs1,A14279,,Unknown,Unknown,Visitor Center [Bookstore],Bookstore,10.40.81.254,00:21:b7:3d:32:4f,092424 GN Not on Network
IntLxOt2,A08939,451443HH16VH1,Lexmark,M3150,Woods Penn,RM205,10.40.134.241,00:21:b7:c1:f8:19,
IntLxX1,A08969,451444HH1B615,Lexmark,M3150,Woods Penn,RM404,10.40.134.250,00:21:b7:e3:c7:92,"041725 - SVC CAll image quality issue, faint image | 021825 - Student calls to order toner | Jenna Zimmerman is POC | EJ orders toner | 021925 - Per Toshiba | A08969 shows LEXMARK M3150, SN# 451444HH1B615 but that machine isn’t on contract. Ship to shows 221 MAIN STREET N/CPO PRINTING SERVICES/BEREA, KY  40403, location Phelps\Stokes upstairs | [TTD] Add to Contract - DONE 2/19/25 by EJ via email to | Katherine Hayden | TOSHIBA | Director of Client Services | NC-West & West Regions | Toll Free: 888-855-1924 | Direct: 502-489-6808 | Fax: 877-TBS-0100"
PscfLxT2,KY4535,460084910K4GR,Lexmark,M3250,Woods Penn,Public Safety,10.40.134.253,00:21:b7:4f:53:5c,
RlcLxT1,A08968,451444HH1B5X9,Lexmark,M3150,Woods Penn,Floor 3 Room 302,10.40.134.251,00:21:b7:21:e3:59,
WP0001,KY4669,CNCJ38071,Toshiba,e-Studio 3515AC,Woods Penn,Woods Penn (CPO),10.40.134.244,00:80:91:ce:6c:ab,090524 GN put on papercut
WP0002,KY4617,CZDJ49151,Unknown,e-Studio 3518A,Woods Penn,Woods Penn (CPO),10.40.134.246,00:80:91:ce:98:f7,
WP0201,KY4615,CZDJ49198,Toshiba,e-Studio 3518A,Stephenson,Printer Storage,10.40.134.254,00:80:91:ce:99:41,080525 - EJ puts FM work order in to move to Printing Services | '080125 - DS requests EJ remove from Woods-Penn
WP0301,KY4618,CZDJ49250,Toshiba,e-Studio 3518A,Woods-Penn,RM 404,10.40.134.248,00:80:91:ce:99:6f,"y, but we need to remove the card reader"
Cash Station  (WP),UNKNOWN-ASSET,,Unknown,Unknown,Woods-Penn FL2,By Safety,,00:00:00:00:00:00,"092424 GN Not on Network, and no asset tag listed"
AdmLxT3,A05261,,Lexmark,T652,Unknown,Unknown,10.40.114.253,00:21:b7:02:44:33,"03-2025 - removed; broken, end of life, !! to do recycle by Xerox | To Do !!Remove from FM"
Cash Station (Lib),UNKNOWN-ASSET,,Unknown,Unknown,Unknown,Unknown,10.40.117.240,00:00:00:00:00:00,"092424 GN Not on Network, and no asset tag listed"
Cash Station (WP),UNKNOWN-ASSET,,Unknown,Unknown,Unknown,Unknown,,00:00:00:00:00:00,"092424 GN Not on Network, and no asset tag listed"
CrLxT6,KY4631,46008910K4GV,Unknown,Unknown,Unknown,2nd Floor Tammy Elam,10.40.109.233,00:21:b7:4f:53:3c,092424 GN not on network
Server IP,UNKNOWN-ASSET,,Unknown,Unknown,Unknown,Unknown,192.68.112.132,00:00:00:00:00:00,090324 EJ Not on Network
UNKNOWN-LABEL,KY4634,460084910K4GT,Unknown,Unknown,Unknown,Unknown,10.40.108.253,00:00:00:00:00:00,"091224 GN Not on Network, Not in room 106, location unknown, | 07/29/2025 ZS: found and marked to be recycled"
UNKNOWN-LABEL,LogHouse,,Epson,ET2803 InkTank,Unknown,Unknown,,00:00:00:00:00:00,2024-10-04 | Jason Willing | Sbuckmaster | Jaedyn Rawson | LightSpeed Printer | Need to set up network for better printer
UNKNOWN-LABEL,UNKNOWN-ASSET,,Unknown,Unknown,Unknown,Unknown,,00:00:00:00:00:00,
UNKNOWN-LABEL,UNKNOWN-ASSET,,Unknown,Unknown,Unknown,Unknown,,00:00:00:00:00:00,
UNKNOWN-LABEL,"PHBCS8N182

Xerox AssetID: EQ601677",PHBCS8N182,"Troy [HP611]

HP
HPLJMICRM611DN",Unknown,Unknown,Unknown,,00:00:00:00:00:00,"090425 - Xerox asks for Meter Read. Zeke forwards to Kelly Kahl | 080325 Xerox emails us; asks for meter read; ej forwards to Kelly Kahl, Xerox, to resolve | 053125 EJ Xerox Meter Read request - sent to Kelly Kahl | 050825 EJ - Device returned to Xerox / COTG via RMA process | Xerox Meter Request | Not On Campus | MICR Troy Printer returned as bad out of the box"
UNKNOWN-LABEL,KY9599,701942740NWRG,Lexmark,XM1342,Stephenson Storage,Unknown,,78:8c:77:71:92:35,09-2025 - Purchased
UNKNOWN-LABEL,KY9600,S460142040W63F,Unknown,M1342,Stephenson building,Stephenson Storage,,00:00:00:00:00:00,
